Категория;Предназначение;Наименование;;Номенклатурный номер;Диаметр;Длинна;Вид покрытия;Класс прочности;Резьба;мкм;Шаг резьбы;Фасовка;Еденица измерения;Цена;Вес за еденицу;;
Гвозди;Cтроительные;Гвозди строительные (ГОСТ 4028-63);2;4371012651;1,2;16;Без покрытия;;;;;;;3,37;0,147;;
;;;2;4371010005;1,2;16;Цинк (белый);;;6;;;;3,64;0,147;;
;;;2;4371010008;1,2;20;Без покрытия;;;;;;;3,22;0,183;;
;;;2;4371012653;1,2;20;Без покрытия;;;;;;;3,37;0,183;;
;;;2;4371010011;1,2;20;Цинк (белый);;;6;;;;3,64;0,183;;
;;;2;4371010012;1,2;25;Без покрытия;;;;;;;3,22;0,219;;
;;;2;4371012958;1,2;25;Без покрытия;;;;;;;3,37;0,219;;
;;;2;4371010013;1,2;25;Цинк (белый);;;6;;;;3,64;0,219;;
;;;2;4371010015;1,4;25;Без покрытия;;;;;;;3,22;0,302;;
;;;2;4371010016;1,4;25;Цинк (белый);;;6;;;;3,64;0,302;;
;;;2;4371013321;1,4;25;Без покрытия;;;;;;;3,37;0,302;;
;;;2;4371010020;1,4;32;Без покрытия;;;;;;;3,22;0,385;;
;;;2;4371010019;1,4;32;Цинк (белый);;;6;;;;3,64;0,385;;
;;;2;4371010021;1,4;40;Без покрытия;;;;;;;3,22;0,482;;
;;;2;4371010022;1,4;40;Цинк (белый);;;6;;;;3,64;0,385;;
;;;2;4371010024;1,6;25;Без покрытия;;;;;;;2,62;0,397;;
;;;2;4371010025;1,6;25;Цинк (белый);;;6;;;;3,04;0,397;;
;;;2;4371010027;1,6;40;Без покрытия;;;;;;;2,62;0,633;;
;;;2;4371010028;1,6;40;Цинк (белый);;;6;;;;3,04;0,633;;
;;;2;4371010030;1,6;50;Без покрытия;;;;;;;2,62;0,791;;
;;;2;4371010031;1,6;50;Цинк (белый);;;6;;;;3,04;0,791;;
;;;2;4371010033;1,8;32;Без покрытия;;;;;;;2,62;0,64;;
;;;2;4371010034;1,8;32;Цинк (белый);;;6;;;;3,04;0,64;;
;;;2;4371010036;1,8;40;Без покрытия;;;;;;;2,62;0,787;;
;;;2;4371010037;1,8;40;Цинк (белый);;;6;;;;3,04;0,787;;
;;;2;4371010039;1,8;50;Без покрытия;;;;;;;2,62;0,967;;
;;;2;4371010040;1,8;50;Цинк (белый);;;6;;;;3,04;0,967;;
;;;2;4371010042;1,8;60;Без покрытия;;;;;;;2,62;1,16;;
;;;2;4371010043;1,8;60;Цинк (белый);;;6;;;;3,04;1,16;;
;;;2;4371010045;2;40;Без покрытия;;;;;;;2,60;0,949;;
;;;2;4371010046;2;40;Цинк (белый);;;6;;;;3,02;0,949;;
;;;2;4371012648;2;40;Цинк (белый);;;6;;;;3,17;0,949;;
;;;2;4371010047;2;50;Без покрытия;;;;;;;2,60;1,19;;
;;;2;4371010048;2;50;Цинк (белый);;;6;;;;3,02;1,19;;
;;;2;4371012650;2;50;Цинк (белый);;;6;;;;3,17;1,19;;
;;;2;4371010049;2,5;50;Без покрытия;;;;;;;2,46;1,87;;
;;;2;4371012645;2,5;50;Без покрытия;;;;;;;2,61;1,87;;
;;;2;4371010050;2,5;50;Цинк (белый);;;6;;;;2,88;1,87;;
;;;2;4371012492;2,5;60;Без покрытия;;;;;;;2,46;2,23;;
;;;2;4371012643;2,5;60;Без покрытия;;;;;;;2,61;2,23;;
;;;2;4371012493;2,5;60;Цинк (белый);;;6;;;;2,88;2,23;;
;;;2;4371012644;2,5;60;Цинк (белый);;;6;;;;3,03;2,23;;
;;;2;4371010051;3;70;Без покрытия;;;;;;;2,44;3,77;;
;;;2;4371012641;3;70;Без покрытия;;;;;;;2,59;3,77;;
;;;2;4371010052;3;70;Цинк (белый);;;6;;;;2,86;3,77;;
;;;2;4371012642;3;70;Цинк (белый);;;6;;;;3,01;3,77;;
;;;2;4371010053;3;80;Без покрытия;;;;;;;2,44;4,33;;
;;;2;4371012639;3;80;Без покрытия;;;;;;;2,59;4,33;;
;;;2;4371010054;3;80;Цинк (белый);;;6;;;;2,86;4,33;;
;;;2;4371012640;3;80;Цинк (белый);;;6;;;;3,01;4,33;;
;;;2;4371010055;3,5;90;Без покрытия;;;;;;;2,44;6,6;;
;;;2;4371012960;3,5;90;Без покрытия;;;;;;;2,59;6,6;;
;;;2;4371010056;3,5;90;Цинк (белый);;;6;;;;2,86;6,6;;
;;;2;4371010057;4;100;Без покрытия;;;;;;;2,43;9,5;;
;;;2;4371012637;4;100;Без покрытия;;;;;;;2,58;9,5;;
;;;2;4371010058;4;100;Цинк (белый);;;6;;;;2,85;9,5;;
;;;2;4371012638;4;100;Цинк (белый);;;6;;;;3,00;9,5;;
;;;2;4371010059;4;120;Без покрытия;;;;;;;2,43;11,5;;
;;;2;4371011205;4;120;Без покрытия;;;;;;;2,58;11,5;;
;;;2;4371010060;4;120;Цинк (белый);;;6;;;;2,85;11,5;;
;;;2;4371011206;4;120;Цинк (белый);;;6;;;;3,00;11,5;;
;;;2;4371010061;5;120;Без покрытия;;;;;;;2,43;17,8;;
;;;2;4371010062;5;120;Цинк (белый);;;6;;;;2,85;17,8;;
;;;2;4371010063;5;150;Без покрытия;;;;;;;2,43;21,9;;
;;;2;4371013018;5;150;Цинк (белый);;;6;;;;2,85;21,9;;
;;;2;4371010065;6;150;Без покрытия;;;;;;;2,43;32,4;;
;;;2;4371010067;6;200;Без покрытия;;;;;;;2,43;43,1;;
;;;;;;;;;;;;;;;;;
;; Гвозди строительные (ч.7811-7075 (DIN 1151) );3;4371011115;1,2;16;Без покрытия;;;;;;;3,22;0,168;;
;;;3;4371011117;1,2;20;Без покрытия;;;;;;;3,22;0,204;;
;;;3;4371013135;1,2;20;Без покрытия;;;;;;;3,37;0,204;;
;;;3;4371012691;1,2;25;Без покрытия;;;;;;;3,22;0,249;;
;;;3;4371011119;1,3;18;Без покрытия;;;;;;;3,22;0,217;;
;;;3;4371011121;1,3;20;Без покрытия;;;;;;;3,22;0,238;;
;;;3;4371011123;1,3;25;Без покрытия;;;;;;;3,22;0,29;;
;;;3;4371011127;1,4;20;Без покрытия;;;;;;;3,22;0,275;;
;;;3;4371011129;1,4;25;Без покрытия;;;;;;;3,22;0,335;;
;;;3;4371013168;1,4;25;Без покрытия;;;;;;;3,37;0,335;;
;;;3;4371011131;1,4;30;Без покрытия;;;;;;;3,22;0,396;;
;;;3;4371013345;1,4;32;Без покрытия;;;;;;;3,22;0,42;;
;;;3;4371011133;1,4;35;Без покрытия;;;;;;;3,22;0,457;;
;;;3;4371013381;1,4;40;Без покрытия;;;;;;;3,22;0,52;;
;;;3;4371011135;1,5;20;Без покрытия;;;;;;;3,22;0,314;;
;;;3;4371011137;1,5;25;Без покрытия;;;;;;;3,22;0,383;;
;;;3;4371011139;1,5;27;Без покрытия;;;;;;;3,22;0,411;;
;;;3;4371011141;1,5;30;Без покрытия;;;;;;;3,22;0,453;;
;;;3;4371011145;1,6;20;Без покрытия;;;;;;;2,62;0,355;;
;;;3;4371011146;1,6;20;Цинк (белый);;;6;;;;3,04;0,355;;
;;;3;4371011147;1,6;25;Без покрытия;;;;;;;2,62;0,434;;
;;;3;4371011148;1,6;25;Цинк (белый);;;6;;;;3,04;0,434;;
;;;3;4371011149;1,6;27;Без покрытия;;;;;;;2,62;0,466;;
